,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_euclidean_constr_4_PCA_768,0.4178,0.8845,0.2018,2.1,203.5
agglomerative_cosine_2_isomap_2,0.4051,0.8941,0.2206,2.1,185.3
kmeans_euclidean_constr_3_PCA_5,0.3905,0.8845,0.2135,2.1,186.4
agglomerative_3_PCA_7,0.399,0.8894,0.204,2.1,197.7
agglomerative_cosine_3_isomap_768,0.3897,0.8898,0.2064,2.1,186.8
agglomerative_2_PCA_768,0.3848,0.8992,0.2146,2.1,185.1
kmeans_euclidean_constr_3_PCA_3,0.3809,0.8858,0.2083,2.1,187.4
agglomerative_2_PCA_7,0.3928,0.8939,0.2126,2.1,187.5
kmeans_euclidean_constr_4_isomap_10,0.3887,0.887,0.207,2.1,190.4
kmeans_euclidean_constr_4_isomap_768,0.4178,0.8845,0.2018,2.1,203.5
kmeans_euclidean_constr_5_isomap_5,0.4083,0.8867,0.2008,2.1,190.0
kmeans_cosine_2_PCA_3,0.3917,0.897,0.2263,2.1,178.8
kmeans_3_PCA_3,0.3791,0.8864,0.2064,2.1,189.2
kmeans_euclidean_constr_5_isomap_10,0.4113,0.8904,0.2004,2.1,182.3
kmeans_2_PCA_5,0.393,0.898,0.2201,2.1,172.0
agglomerative_7_isomap_3,0.392,0.8908,0.2115,2.1,191.9
kmeans_cosine_4_isomap_7,0.4103,0.8907,0.2162,2.1,183.1
kmeans_cosine_4_isomap_10,0.3886,0.8805,0.1577,2.1,248.9
kmeans_cosine_5_isomap_2,0.3944,0.8884,0.1987,2.1,216.1
kmeans_3_PCA_10,0.3868,0.8884,0.2112,2.1,184.7
agglomerative_cosine_5_PCA_10,0.405,0.89,0.2179,2.1,187.1
agglomerative_7_PCA_7,0.3714,0.8864,0.1974,2.1,196.1
kmeans_euclidean_constr_3_PCA_2,0.4046,0.8891,0.2113,2.1,185.6
agglomerative_cosine_2_PCA_7,0.3886,0.8971,0.2213,2.1,176.3
agglomerative_cosine_3_PCA_7,0.4102,0.8917,0.2071,2.1,195.7
kmeans_euclidean_constr_2_PCA_5,0.3938,0.8973,0.2222,2.1,169.8
agglomerative_cosine_3_PCA_768,0.3897,0.8898,0.2064,2.1,186.8
agglomerative_cosine_5_PCA_7,0.4139,0.8862,0.2135,2.1,195.1
agglomerative_cosine_4_PCA_10,0.4185,0.8869,0.2088,2.1,204.6
kmeans_cosine_7_isomap_768,0.3628,0.8853,0.1955,2.1,205.2
kmeans_4_PCA_768,0.4115,0.888,0.203,2.1,190.1
agglomerative_2_isomap_5,0.4031,0.8907,0.2161,2.2,183.7
kmeans_cosine_7_isomap_7,0.3954,0.8979,0.2094,2.2,180.1
kmeans_euclidean_constr_2_PCA_7,0.3923,0.8948,0.2177,2.2,179.4
