,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
scibert_average_kmeans_7_isomap_10,0.5006,0.6667,0.4153,1.5,19.1
scibert_average_agglomerative_7_isomap_10,0.5062,0.6568,0.4149,1.6,19.4
scibert_average_agglomerative_3_isomap_3,0.4456,0.6718,0.4131,2.8,18.6
scibert_average_kmeans_3_PCA_5,0.5233,0.6468,0.4124,1.3,19.6
scibert_average_kmeans_7_isomap_5,0.4899,0.6641,0.411,1.5,19.2
scibert_average_agglomerative_4_isomap_5,0.4554,0.6653,0.4106,1.8,18.6
scibert_average_kmeans_3_PCA_10,0.4996,0.6556,0.4101,1.5,19.2
scibert_average_agglomerative_7_isomap_7,0.4958,0.6538,0.4097,1.4,19.3
scibert_average_agglomerative_3_PCA_10,0.485,0.6562,0.4095,1.7,19.7
scibert_average_kmeans_2_PCA_7,0.4608,0.6508,0.4085,1.6,18.8
scibert_average_agglomerative_3_PCA_7,0.4822,0.6523,0.4073,1.6,19.5
scibert_average_kmeans_7_isomap_7,0.5057,0.6543,0.4055,1.4,19.5
scibert_average_agglomerative_3_isomap_2,0.4377,0.6575,0.4051,2.2,18.9
scibert_average_kmeans_5_isomap_3,0.4413,0.6492,0.4051,2.2,19.1
scibert_average_kmeans_7_isomap_2,0.4643,0.6541,0.4043,1.5,18.8
scibert_average_agglomerative_2_PCA_2,0.47,0.6448,0.4019,1.3,19.4
scibert_average_agglomerative_4_isomap_3,0.4408,0.6507,0.4001,2.2,19.0
scibert_average_kmeans_2_PCA_5,0.4526,0.6447,0.4,1.6,18.7
scibert_average_agglomerative_7_isomap_5,0.4724,0.6437,0.3987,1.5,19.4
scibert_average_kmeans_2_PCA_3,0.4668,0.6417,0.3979,1.3,19.4
scibert_average_agglomerative_2_PCA_3,0.468,0.6351,0.3973,1.4,19.4
scibert_average_kmeans_4_isomap_3,0.4311,0.6441,0.397,2.2,19.1
scibert_average_kmeans_5_isomap_5,0.4574,0.6534,0.3962,1.7,19.2
scibert_average_kmeans_2_PCA_2,0.4502,0.6383,0.3957,1.6,19.4
scibert_average_kmeans_4_isomap_5,0.4406,0.6476,0.3936,1.9,19.0
scibert_average_kmeans_4_isomap_7,0.4378,0.6445,0.3913,1.8,18.9
scibert_average_kmeans_5_isomap_10,0.4518,0.6444,0.3913,1.7,19.0
random,0.4344,0.6298,0.391,3.1027,19.1175
scibert_average_agglomerative_2_PCA_7,0.4314,0.6235,0.3818,2.1,19.3
scibert_average_kmeans_2_PCA_10,0.4185,0.6236,0.3802,2.1,18.7
scibert_average_agglomerative_2_PCA_5,0.4144,0.6183,0.3787,2.3,19.4
scibert_average_agglomerative_2_PCA_10,0.4253,0.617,0.3781,2.2,19.4
