,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_4_PCA_3,0.3996,0.8878,0.2017,1.5,187.2
agglomerative_cosine_2_PCA_10,0.3995,0.8961,0.2266,2.2,180.0
kmeans_7_PCA_7,0.3993,0.8882,0.1952,1.9,189.3
agglomerative_2_PCA_5,0.3992,0.8973,0.2158,1.8,182.8
spectral_7_PCA_5,0.3991,0.8792,0.193,1.6,215.8
spectral_3_PCA_5,0.3991,0.8882,0.2032,1.9,202.9
agglomerative_3_PCA_7,0.399,0.8894,0.204,2.1,197.7
kmeans_cosine_2_PCA_5,0.3988,0.8959,0.2273,2.2,183.6
kmeans_cosine_5_PCA_768,0.3988,0.8839,0.1969,1.4,209.3
spectral_7_PCA_10,0.3987,0.8801,0.2001,1.7,217.7
agglomerative_4_isomap_5,0.3985,0.8819,0.2068,1.9,195.7
spectral_5_PCA_2,0.3985,0.8819,0.2009,1.5,202.3
agglomerative_cosine_4_isomap_7,0.3979,0.8856,0.2028,1.7,197.9
kmeans_cosine_7_isomap_10,0.3972,0.8862,0.2042,2.5,224.7
kmeans_7_isomap_3,0.397,0.8894,0.2096,1.7,191.6
kmeans_2_PCA_3,0.3969,0.8971,0.2198,1.9,176.2
spectral_3_PCA_3,0.3967,0.8954,0.2138,1.5,196.9
agglomerative_3_PCA_2,0.3966,0.8917,0.2103,2.1,181.3
kmeans_cosine_4_PCA_3,0.3966,0.8358,0.1689,2.0,302.7
agglomerative_cosine_2_PCA_2,0.3966,0.8928,0.2243,2.0,178.1
kmeans_2_PCA_10,0.3964,0.8967,0.2179,2.0,179.9
agglomerative_4_isomap_7,0.3963,0.884,0.204,2.8,190.6
agglomerative_4_PCA_7,0.3958,0.8866,0.1973,1.9,192.1
agglomerative_5_isomap_3,0.3955,0.8852,0.2105,2.2,192.2
kmeans_cosine_7_isomap_7,0.3954,0.8979,0.2094,2.2,180.1
agglomerative_3_PCA_10,0.3953,0.8873,0.1976,2.2,197.9
kmeans_cosine_4_isomap_5,0.3952,0.8823,0.1984,1.9,234.6
kmeans_2_isomap_3,0.3952,0.8937,0.2152,1.5,179.5
spectral_2_PCA_2,0.3944,0.8967,0.2125,1.6,185.6
kmeans_cosine_5_isomap_2,0.3944,0.8884,0.1987,2.1,216.1
kmeans_7_PCA_5,0.3943,0.8842,0.1962,1.6,198.9
kmeans_PCA_variable,0.3938,0.8826,0.1905,1.7,186.4
