,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_euclidean_constr_2_isomap_10,0.6412,0.8095,0.5852,1.6,15.0
kmeans_euclidean_constr_3_PCA_5,0.6405,0.7959,0.5755,1.6,15.1
agglomerative_cosine_7_PCA_5,0.6404,0.8152,0.5994,2.1,14.4
kmeans_cosine_2_PCA_7,0.6403,0.8037,0.5827,1.6,15.0
agglomerative_cosine_3_isomap_5,0.6399,0.7979,0.5562,1.5,15.6
kmeans_3_PCA_768,0.639,0.8039,0.5831,1.7,15.0
agglomerative_cosine_7_isomap_7,0.6389,0.818,0.5926,1.9,15.3
agglomerative_5_isomap_2,0.6382,0.8186,0.5973,1.7,14.3
agglomerative_cosine_7_isomap_2,0.6379,0.8115,0.5885,1.8,14.8
agglomerative_cosine_3_PCA_3,0.6379,0.8024,0.5719,1.6,15.8
agglomerative_cosine_5_PCA_5,0.6376,0.8163,0.5998,2.0,14.5
agglomerative_cosine_4_PCA_2,0.6366,0.8073,0.5808,1.6,14.5
agglomerative_cosine_5_isomap_7,0.6364,0.818,0.5922,1.9,14.9
agglomerative_cosine_4_PCA_10,0.6363,0.8195,0.6036,2.1,14.3
spectral_3_PCA_5,0.6347,0.795,0.5646,1.4,15.4
agglomerative_3_isomap_2,0.6342,0.8005,0.5737,1.6,15.4
agglomerative_cosine_4_PCA_3,0.6335,0.8226,0.6005,1.8,14.2
kmeans_cosine_2_PCA_5,0.6334,0.7984,0.5814,1.6,14.9
kmeans_cosine_3_PCA_7,0.6334,0.8042,0.6006,1.8,14.2
agglomerative_cosine_3_isomap_768,0.6332,0.789,0.5591,1.6,16.3
agglomerative_cosine_3_PCA_768,0.6332,0.789,0.5591,1.6,16.3
kmeans_3_isomap_10,0.6329,0.8039,0.578,1.7,15.2
spectral_4_PCA_768,0.6322,0.7518,0.4882,1.5,20.7
kmeans_euclidean_constr_3_isomap_10,0.6318,0.8041,0.5776,1.7,15.2
kmeans_5_isomap_2,0.6315,0.8179,0.5963,1.8,14.5
kmeans_5_PCA_768,0.6314,0.8115,0.5885,1.9,14.7
agglomerative_cosine_5_isomap_2,0.6313,0.8139,0.5888,2.0,14.6
kmeans_cosine_4_PCA_768,0.6313,0.7917,0.5819,1.7,15.1
kmeans_euclidean_constr_3_PCA_768,0.631,0.8008,0.5781,1.7,15.0
kmeans_euclidean_constr_3_isomap_768,0.631,0.8008,0.5781,1.7,15.0
kmeans_cosine_3_PCA_768,0.6285,0.802,0.5815,1.6,15.3
kmeans_euclidean_constr_5_isomap_2,0.6279,0.8164,0.5947,1.8,14.5
kmeans_3_isomap_2,0.6277,0.8018,0.5678,1.7,15.3
kmeans_cosine_2_PCA_768,0.6274,0.79,0.5894,1.6,15.3
kmeans_euclidean_constr_3_isomap_2,0.6263,0.8013,0.5672,1.7,15.3
kmeans_3_isomap_5,0.6251,0.7977,0.5709,1.7,15.5
agglomerative_cosine_3_isomap_2,0.6246,0.8069,0.5777,1.7,14.4
kmeans_euclidean_constr_3_isomap_5,0.6245,0.7985,0.5709,1.7,15.5
agglomerative_cosine_2_isomap_5,0.6233,0.7967,0.5619,1.5,15.3
kmeans_cosine_3_PCA_2,0.6227,0.7673,0.546,1.5,17.3
agglomerative_cosine_3_PCA_2,0.6227,0.8058,0.5688,1.6,14.6
agglomerative_cosine_2_isomap_7,0.6227,0.7979,0.5658,1.6,15.2
spectral_5_PCA_768,0.6219,0.7026,0.4165,1.4,22.4
agglomerative_5_isomap_5,0.6213,0.8119,0.5901,1.7,14.4
agglomerative_PCA_variable,0.6211,0.7578,0.5235,1.5,18.3
agglomerative_cosine_3_PCA_10,0.6209,0.7977,0.5677,1.7,15.6
spectral_5_PCA_5,0.6202,0.7904,0.562,1.5,15.0
agglomerative_5_isomap_10,0.6185,0.8135,0.5908,1.8,14.1
kmeans_cosine_5_PCA_5,0.6181,0.7306,0.4739,1.5,21.6
agglomerative_cosine_3_PCA_7,0.6178,0.7959,0.5696,1.7,15.1
kmeans_PCA_variable,0.6123,0.7688,0.5372,1.5,18.0
agglomerative_cosine_4_isomap_2,0.6081,0.7985,0.5628,1.9,15.1
kmeans_isomap_variable,0.6045,0.7585,0.5204,1.7,18.3
spectral_3_PCA_768,0.6007,0.736,0.4697,1.6,21.4
kmeans_cosine_PCA_variable,0.5976,0.7608,0.5275,1.6,18.1
spectral_7_PCA_768,0.5964,0.7256,0.4786,1.6,21.8
kmeans_cosine_4_PCA_2,0.5956,0.7327,0.4643,1.6,21.1
kmeans_cosine_4_PCA_7,0.5934,0.7438,0.5281,1.8,18.4
kmeans_cosine_7_PCA_5,0.5933,0.7143,0.4905,1.8,19.4
agglomerative_isomap_variable,0.5924,0.7677,0.5409,1.7,17.6
kmeans_cosine_5_PCA_3,0.5904,0.732,0.4469,1.7,22.6
agglomerative_cosine_isomap_variable,0.5753,0.7518,0.5303,1.9,17.5
kmeans_cosine_4_PCA_3,0.5698,0.6944,0.4338,1.5,20.8
agglomerative_cosine_PCA_variable,0.5686,0.7476,0.5138,1.7,18.1
kmeans_cosine_isomap_variable,0.5633,0.7497,0.5123,1.8,18.0
scibert_average_agglomerative_7_PCA_5,0.5617,0.6864,0.4749,1.8,19.1
scibert_max_articles,0.5616,0.7446,0.4882,1.6,18.5
scibert_average_kmeans_5_PCA_10,0.5612,0.6987,0.4691,1.3,18.9
scibert_average_kmeans_4_PCA_7,0.5607,0.6949,0.4669,1.3,18.9
scibert_average_kmeans_7_PCA_10,0.559,0.6937,0.4802,2.0,18.7
scibert_average_agglomerative_7_isomap_3,0.556,0.6997,0.4511,1.3,19.2
scibert_average_agglomerative_7_PCA_10,0.5559,0.6844,0.4566,1.5,19.6
scibert_average_agglomerative_5_PCA_2,0.5546,0.6877,0.4633,1.5,18.9
scibert_average_kmeans_5_PCA_7,0.5538,0.6935,0.4663,1.3,19.0
scibert_average_agglomerative_2_isomap_5,0.5537,0.7404,0.4923,1.9,17.6
scibert_mean,0.5537,0.7367,0.4926,2.0,18.5
scibert_average_kmeans_7_PCA_7,0.5532,0.7006,0.4812,1.9,18.6
scibert_average_kmeans_4_PCA_3,0.5526,0.6953,0.4659,1.3,18.9
scibert_average_kmeans_4_PCA_10,0.5523,0.6933,0.465,1.3,18.9
