name,romanize name,School-Department,University,University email domain,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,ResearchGate name,ResearchGate url name/id,ResearchGate url type,Search Engine label
Βασίλειος Διγαλάκης,Vasileios Digalakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Καθηγητής,4463,Vassilis Digalakis,8LcwaSYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Απόστολος Δόλλας,Apostolos Dollas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Καθηγητής,19914,Apostolos Dollas,4Q-zncUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Δολόγλου,Ioannis Dologlou,Ινστιτούτο Επεξεργασίας του Λόγου,"Ερευνητικό Κέντρο Καινοτομίας στις Τεχνολογίες της Πληροφορίας, των Επικοινωνιών & τηςΣ Γνώσης - ""ΑΘΗΝΑ"" ",athena-innovation,Διευθυντής Ερευνών,17763,ioannis dologlou,gR1xCV8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ζωή Δουλγέρη,Zoi Doulgeri,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18259,Zoe Doulgeri,ubUmUrcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Δουληγέρης,Christos Douligeris,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,18820,Christos Douligeris,f7-JRJUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Έλληνας,Georgios Ellinas,Electrical and Computer Engineering,University of Cyprus,University of Cyprus,Αναπληρωτής Καθηγητής,5840,Georgios Ellinas,5_21xI8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Εμίρης,Ioannis Emiris,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,4425,Ioannis Emiris,ZK6y-cIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Ευαγγελίδης,Georgios Evangelidis,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,6852,Georgios Evangelidis,DeNMec4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παύλος Εφραιμίδης,Pavlos Efraimidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ΔΠΘ,duth,Αναπληρωτής Καθηγητής,18194,Pavlos S. Efraimidis,Dxz0pLsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ξενοφών  Ζαμπούλης,Xenofon  Zampoulis,Ινστιτούτο Πληροφορικής,ΙΤΕ,forth,Κύριος Ερευνητής,17927,Xenophon Zabulis,mT6JlBIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Ζάννος ,Ioannis Zannos ,Τεχνών Ήχου και Εικόνας,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,11497,Iannis Zannos,I-UWrxUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Ζαράνης,Nikolaos Zaranis,Παιδαγωγικό Προσχολικής Εκπαίδευσης,Πανεπιστήμιο Κρήτης,uoc, Καθηγητής,18135,Nicholas Zaranis,6gocJEwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Ζαρολιάγκης,Christos Zaroliagkis,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,18315,Christos Zaroliagis,L3AQ8wkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Απόστολος Ζάρρας,Apostolos Zarras,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Αναπληρωτής Καθηγητής,1150,Apostolos Zarras,9nXN6XYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ Ζερβάκης,Michail Zervakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Καθηγητής,10147,Michalis Zervakis,-wlbrYcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχάλης Ζέρβας,Michalis Zervas,Optoelectronics Research Centre,University of Southampton,University of Southampton,Καθηγητής,1067,Michalis N. Zervas,inm2aNQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Ζησιμόπουλος,Vasileios Zisimopoulos,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,9507,V. Zissimopoulos,Uah1GyMAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Κυριάκος Ζωηρός, Kyriakos Zoiros,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,ΔΠΘ,duth,Αναπληρωτής Καθηγητής,19606,KYRIAKOS ZOIROS,KcVeVFkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Θεοδωρίδης,Ioannis Theodoridis,Πληροφορικής,Πανεπιστήμιο Πειραιώς,unipi,Καθηγητής,7814,Yannis Theodoridis,1f5twhoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Θεοχάρης,Ioannis Theocharis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,7754,John B. Theocharis,cluYahAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεοχάρης Θεοχάρης ,Theocharis Theocharis ,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,8989,Theoharis Theoharis,1AuLBccAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Θηλυκός,Dimitrios Thilykos,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,7623,Dimitrios M. Thilikos,L-q3PPkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κλεάνθης Θραμπουλίδης,Kleanthis Thrampoulidis,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19589,Kleanthis Thramboulidis,2KWb9fUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Ιακωβίδης,Dimitrios Iakovidis,Πληροφορικής με Έμφαση στη Βιοϊατρική,Πανεπιστήμιο Θεσσαλίας,uth, Καθηγητής,4686,Dimitris Iakovidis,Jg1ZJ1wAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Ιωαννίδης,Dimitrios Ioannidis,Οικονομικών Επιστημών,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,19906,Dimitrios Ioannides,Brc7FTEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Ιωαννίδης,Ioannis Ioannidis,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,19793,Yannis Ioannidis,MIfpzUQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Θεοδώρα Ιωαννίδου,Theodora Ioannidou,Πολιτικών Μηχανικών,ΑΠΘ,auth,Καθηγητής,4017,Theodora Ioannidou,yYZbsa0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εργίνα Καβαλλιεράτου,Ergina Kavallieratou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Αναπληρωτής Καθηγητής,9365,Ergina Kavallieratou,uJVGw7kAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρυσοβαλάντης Καβουσιανός ,Chrysovalantis Kavousianos ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,1320,Xrysovalantis Kavousianos,GpEoeCUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Καλλές,Dimitrios Kalles,θετικών Επιστημων και Τεχνολογίας,Ελληνικό Ανοικτό Πανεπιστήμιο,eap,Καθηγητής,19008,Dimitris Kalles,mfu6U_MAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Καλνής,Panagiotis Kalnis,Επιστήμης Υπολογιστών,King Abdullah University of Science & Technology,King Abdullah University of Science & Technology,Καθηγητής,1946,Panos Kalnis,-NdSrrYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,Ελληνικό Ανοικτό Πανεπιστήμιο,eap, Καθηγητής,1858,Unknown,Unknown,Unknown,Unknown,Achilles Kameas,Achilles-Kameas,profile,3
Γεωργιος     Καμπουρακης ,Georgios     Kampourakis ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,18554,Georgios Kambourakis,LJz0vqQaztcC,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αιμίλιος-Βασίλειος  Καμπουρόπουλος ,Aimilios-Vasileios  Kampouropoulos ,Μουσικών Σπουδών,ΑΠΘ,auth, Καθηγητής,19655,Emilios Cambouropoulos,zibN-roAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Καραγιάννης,Ioannis Karagiannis,Μηχ. Η/Υ & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras, Καθηγητής,18311,Ioannis Caragiannis,FSIQi4IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαράλαμπος Καραγιαννίδης ,Charalampos Karagiannidis ,Παιδαγωγικό Είδικής Αγωγής,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,7729,Karagiannidis Charalampos,QZQ7DXkAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Καραγιαννίδης ,Georgios Karagiannidis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,19446,George K. Karagiannidis,7FZ1r94AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA","University of Oklahoma, USA",Καθηγητής,1212,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0
Γεωργία Κάραλη,Georgia Karali,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,11144,Georgia Karali,Ae5ALHUAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153,Unknown,Unknown,Unknown,Unknown,George Karabatis,George-Karabatis,profile,3
Νικόλαος Καραμπετάκης,Nikolaos Karampetakis,Μαθηματικών,ΑΠΘ,auth,Καθηγητής,4693,Nicholas Karampetakis,TkKJCukAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης  Καραφυλλίδης ,Ioannis  Karafyllidis ,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,ΔΠΘ,duth,Καθηγητής,18658,Ioannis Karafyllidis,WbkfjB4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Καραχάλιος,Nikolaos Karachalios,Μαθηματικών,Πανεπιστήμιο Αιγαίου,aegean,Καθηγητής,19233,NIKOLAOS KARACHALIOS,Pptq4PwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Καρύπης,Georgios Karypis,Computer Science and Engineering,University of Minnesota,University of Minnesota,Καθηγητής,7274,George Karypis,ElqwScwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Cyprus University of Technology,Καθηγητής,4473,Unknown,Unknown,Unknown,Unknown,Elpida T. Keravnou,Elpida-Keravnou,profile,3
Αθανάσιος Κεχαγιάς,Athanasios Kechagias,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Αναπληρωτής Καθηγητής,17977,Athanasios Kehagias,AiqUHA8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Κλουκίνας,Konstantinos Kloukinas, Μicroelectronics engineer,CERN the European Organization for Nuclear Research,CERN the European Organization for Nuclear Research,Κύριος Ερευνητής,5310,Kostas Kloukinas,tbVLx8sAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χριστόφορος Κοζυράκης,Christoforos Kozyrakis, Electrical Engineering and Computer Science,Stanford University,Stanford University,Καθηγητής,6966,Christos Kozyrakis,G2EJz5kAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νεκτάριος Κοζύρης,Nektarios Kozyris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,19471,Nectarios Koziris,wgwP96QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρυσή Κοκολογιαννάκη,Chrysi Kokologiannaki,Μαθηματικών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,19951,Chrysi Kokologiannaki,5bM3fdIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Στέφανος Κόλλιας ,Stefanos Kollias ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18205,Stefanos Kollias,-h2va3cAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σταύρος Κολλιόπουλος,Stavros Kolliopoulos,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,18495,Stavros Kolliopoulos,1jZJgWQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Κόμης,Vasileios Komis,Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,4952,Vassilis Komis,y-hRoJQAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Λυσίμαχος-Παύλος Κόντης,Lysimachos-Pavlos Kontis,Μηχανικών Η.Υ. & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,171,Lisimachos Kondi,VVz5ATwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αριστείδης Κοντογεώργης,Aristeidis Kontogeorgis,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,18766,Aristides Kontogeorgis,ydP9h5cAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Κοντογιάννης,Konstantinos Kontogiannis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,18652,Kostas Kontogiannis,gNZOUUAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Δημήτριος Κουγιουμτζής,Dimitrios Kougioumtzis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18580,D Kugiumtzis,SgQOqeIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χρήστος Κουκουβίνος,Christos Koukouvinos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,5932,Christos Koukouvinos,XV73_qEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Κουμπαράκης,Emmanouil Koumparakis,Πληροφορικής και Τηλεπικοινωννιών,ΕΚΠΑ,uoa,Καθηγητής,9714,Manolis Koubarakis,FKy2868AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Κουρουπέτρογλου ,Georgios Kouroupetroglou ,Πληροφορικής και Τηλεπικοινωνιών,Εθνικό Καποδιστριακο Πανεπιστήμιο Αθηνών,uoa,Καθηγητής,18734,Georgios Kouroupetroglou,utmrHCoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κυριάκος Κουτουλάκος,Kyriakos Koutoulakos,Computer Science,University of Toronto,University of Toronto,Καθηγητής,7124,Kyros Kutulakos,bQJWJPYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευτύχιος Κουτρούλης,Eftychios Koutroulis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,18992,Eftichis Koutroulis,qd8CMdgAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Διον.-Δημήτριος Κουτσουρής,Dion.-Dimitrios Koutsouris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,155,Dimitrios Koutsouris,tTm7CCAAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Οδυσσέας Κουφοπαυλου ,Odysseas Koufopavlou ,Ηλεκτρολόγων Μηχ & Τεχνολογίας υπολογιστών,Παν/μιο Πατρών ,upatras,Καθηγητής,17652,Odysseas Koufopavlou,e86zmDoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Εμμανουήλ Κριεζής, Emmanouil Kriezis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,3707,Emmanouil Kriezis,CUb8oGIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Κυρπίδης,Nikolaos Kyrpidis,Department of Energy ,Joint Genome Institute,Joint Genome Institute,Διευθυντής Ερευνών,7506,Nikos C Kyrpides,0FuZRPYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ελισάβετ Κωνσταντίνου,Elisavet Konstantinou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,Πανεπιστήμιο Αιγαίου,aegean,Επίκουρος Καθηγητής (Μόνιμος),5934,Elisavet Konstantinou,V5atJsEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Κωνσταντόπουλος,Panagiotis Konstantopoulos,Πληροφορικης,ΟΠΑ,aueb,Καθηγητής,18164,Panos Constantopoulos,EAagfCoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Χαράλαμπος Κωνσταντόπουλος,Charalampos Konstantopoulos,Πληροφορικης,Πανεπιστήμιο Πειραιώς,unipi,Αναπληρωτής Καθηγητής,13839,Charalampos Konstantopoulos,Q0GeDawAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης  Κωττής,Panagiotis  Kottis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,4033,Unknown,Unknown,P. Cottis,1716787,Unknown,Unknown,Unknown,2
Μιχαήλ Λαγουδάκης,Michail Lagoudakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,3647,Michail G. Lagoudakis,VqHiIg8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σπυρίδων-Γεράσιμος  Λάλης,Spyridon-Gerasimos  Lalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πανεπιστήμιο Θεσσαλίας,uth,Καθηγητής,17837,Spyros Lalis,1hCQK9oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ανδρέας Λανίτης,Andreas Lanitis, Multimedia and Graphic Arts,Cyprus University of Technology,Cyprus University of Technology,Αναπληρωτής Καθηγητής,8086,Andreas Lanitis,LV7ud3IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
 Θεόδωρος Λαόπουλος, Theodoros Laopoulos,Φυσικής,ΑΠΘ,auth,Καθηγητής,17535,Theodore Laopoulos,Kb2N6d4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Λέπουρας,Georgios Lepouras,Πληροφορικής & Τηλεπικοινωνιών,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,18491,George Lepouras,AZ9U32YAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μιχαήλ  Λογοθέτης,Michail  Logothetis,Ηλεκτρολόγων Μηχ & Τεχνολογίας Υπολογιστών,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,8497,Michael D. Logothetis,ybBA1ZIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Λουράκης,Emmanouil Lourakis,Ινστιτούτο Πληροφορικής,ΙΤΕ,forth,Διευθυντής Ερευνών,18073,Manolis Lourakis,4YYxk1IAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μαλαματή Λούτα,Malamati Louta,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πανεπιστήμιο Δυτικής Μακεδονίας,uowm,Αναπληρωτής Καθηγητής,8334,Malamati Louta,5yvGyGsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αριστείδης Λύκας,Aristeidis Lykas,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,11212,Aristidis Likas,kb39Kx0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Σπυρίδων Λυκοθανάσης,Spyridon Lykothanasis,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,17284,Likothanassis S.,x0Xemm8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νίκος Μαγκλαβέρας,Nikos Magklaveras,Ιατρική,ΑΠΘ,auth,Καθηγητής,18291,"Nicos Maglaveras, FEAMBES",2CCz8x0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Μάγκος,Emmanouil Magkos,Πληροφορικής,Ιόνιο Πανεπιστήμιο,ionio,Αναπληρωτής Καθηγητής,17022,Emmanouil (Manos) Magkos,qy_LFbsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Μακράκης,Georgios Makrakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,17699,George N. Makrakis,0uErzsEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Γεώργιος Μακρής,Georgios Makris,Electrical Engineering,University of Texas at Dallas,University of Texas at Dallas,Καθηγητής,9069,Yiorgos Makris,dUO4lKwAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Μαλεύρης,Nikolaos Malevris,Πληροφορικής,ΟΠΑ,aueb,Καθηγητής,144,N. Malevris,PJ748-EAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Νικόλαος Μαμουλής,Nikolaos Mamoulis,Μηχ Ηλεκτρονικών Υπολογιστών & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi, Καθηγητής,18640,Nikos Mamoulis,jOvUDjYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Αικατερίνη Μανιά,Aikaterini Mania,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,Πολυτεχνειο Κρήτης,tuc,Αναπληρωτής Καθηγητής,10330,Katerina Mania,fq9RjXsAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Μανουσάκης,Ioannis Manousakis,Computer Science,"LRI, University Paris South, Orsay","LRI, University Paris South, Orsay",Καθηγητής,11102,Ioannis Manousakis,5rA-dYcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ηλίας Μανωλάκος,Ilias Manolakos,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,17276,Elias S. Manolakos,fO1mhBoAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Πέτρος Μαραγκός,Petros Maragkos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,10326,Petros Maragos,A2XydgGCY9gC,Unknown,Unknown,Unknown,Unknown,Unknown,1
Εμμανουήλ Μαραγκουδάκης,Emmanouil Maragkoudakis,Πληροφορικής,Ιόνιο Πανεπιστήμιο,ionio,Καθηγητής,19548,Manolis Maragoudakis,MYXXMRIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μαργαρίτης,Konstantinos Margaritis,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,6934,Konstantinos G. Margaritis,YAzF48oAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μαρκαντωνάκης,Konstantinos Markantonakis,Information Security Group,"Royal Holloway, University of London","Royal Holloway, University of London", Καθηγητής,3716,Konstantinos Markantonakis,NygekFcAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευάγγελος Μαρκάτος,Evangelos Markatos,Επιστήμης Υπολογιστών,Πανεπιστήμιο Κρήτης,uoc,Καθηγητής,4137,Evangelos Markatos,Wk7e-kIAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Κωνσταντίνος Μασσέλος,Konstantinos Masselos,Πληροφορικής και Τηλεπικοινωνιών,Πανεπιστήμιο Πελοποννήσου,uop,Καθηγητής,3560,Konstantinos Masselos,aJt79fYAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ιωάννης Μαυρίδης,Ioannis Mavridis,Εφαρμοσμένης Πληροφορικής,Πανεπιστήμιο Μακεδονίας,uom,Καθηγητής,3176,Ioannis Mavridis,l2FvCz8AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Μάριος Μαυρονικόλας,Marios Mavronikolas, Πληροφορικής,University of Cyprus,University of Cyprus,Καθηγητής,1892,Marios Mavronicolas,PAACT74AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Βασίλειος Μεγαλοοικονόμου,Vasileios Megalooikonomou,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,7710,Vasileios Megalooikonomou,toMnRo0AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Λάζαρος  Μεράκος,Lazaros  Merakos,Πληροφορικής & Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,18649,Lazaros Merakos,H5xlwE4AAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Παναγιώτης Μεταξάς,Panagiotis Metaxas, Computer Science,Wellesley College,Wellesley College,Professor,419,"Panagiotis ""Takis"" Metaxas",7tc03WEAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ευάγγελος Μήλιος,Evangelos Milios, Computer Science,Dalhousie University,Dalhousie University,Καθηγητής,2289,Evangelos Milios,ME8aQywAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
Περικλής Μήτκας,Periklis Mitkas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,7874,Pericles A. Mitkas,t58rc8QAAAAJ,Unknown,Unknown,Unknown,Unknown,Unknown,1
