name,romanize name,School-Department,University,University email domain,Rank,Apella_id
Στέφανος Κόλλιας ,Stefanos Kollias ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,18205
Σταύρος Κολλιόπουλος,Stavros Kolliopoulos,Πληροφορικής και Τηλεπικοινωνιών,ΕΚΠΑ,uoa,Καθηγητής,18495
Βασίλειος Κόμης,Vasileios Komis,Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία,Πανεπιστήμιο Πατρών,upatras,Καθηγητής,4952
Λυσίμαχος-Παύλος Κόντης,Lysimachos-Pavlos Kontis,Μηχανικών Η.Υ. & Πληροφορικής,Πανεπιστήμιο Ιωαννίνων,uoi,Καθηγητής,171
Αριστείδης Κοντογεώργης,Aristeidis Kontogeorgis,Μαθηματικών,ΕΚΠΑ,uoa,Καθηγητής,18766
Κωνσταντίνος Κοντογιάννης,Konstantinos Kontogiannis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ΕΜΠ,ntua,Αναπληρωτής Καθηγητής,18652
Δημήτριος Κουγιουμτζής,Dimitrios Kougioumtzis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΑΠΘ,auth,Καθηγητής,18580
Χρήστος Κουκουβίνος,Christos Koukouvinos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ΕΜΠ,ntua,Καθηγητής,5932
Εμμανουήλ Κουμπαράκης,Emmanouil Koumparakis,Πληροφορικής και Τηλεπικοινωννιών,ΕΚΠΑ,uoa,Καθηγητής,9714
Γεώργιος Κουρουπέτρογλου ,Georgios Kouroupetroglou ,Πληροφορικής και Τηλεπικοινωνιών,Εθνικό Καποδιστριακο Πανεπιστήμιο Αθηνών,uoa,Καθηγητής,18734
Κυριάκος Κουτουλάκος,Kyriakos Koutoulakos,Computer Science,University of Toronto,University of Toronto,Καθηγητής,7124
Ευτύχιος Κουτρούλης,Eftychios Koutroulis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,Πολυτεχνείο Κρήτης,tuc,Αναπληρωτής Καθηγητής,18992
Διον.-Δημήτριος Κουτσουρής,Dion.-Dimitrios Koutsouris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ΕΜΠ,ntua,Καθηγητής,155
